X,Wheel of Fortune,Колесо Фортуны,"Додо, Мышь, Сова, Орлёнок и Морская Свинка только что завершили Бестолкотню (бег по кругу), точка остановки которой находится в руках судьбы. Здесь есть все возможности, и многие из них будут схвачены и удержаны. Добро и зло, начало и конец, всё, что есть, что было, и что ещё предстоит, находится на Колесе Жизни.","Рождение и смерть. Что-либо необычное или неподвластное сознанию. Начало и конец. Разрешение. Удача или неудача. Идти вперёд или отступать перед трудностями."
XI,Justice,Правосудие,"Папа Вильям стоит на голове, балансируя между ногами весы справедливости. За ним стоят столпы, на которых держится истина. Завеса представляет собой слепоту правосудия или абсолютную справедливость. Папа Вильям рано понял, что когда жизнь проживают только ради её продления, то это просто бессмысленное существование. Всё должно уравновешиваться.","Справедливость – это светлая сторона инь и янь. Хладнокровие. Психика в перспективе. Справедливое решение. Логика в жизни и делах. Беспристрастность. Дельный совет и твёрдость характера."
XII,The Hanged Man,Повешенный,"Омар подвешен за хвост, вероятно, над кастрюлей. Судьба омара — быть сваренным на чей-то обед. Мы не можем видеть, кто виновник, но мы можем предположить, что это один из поваров любого из королей или королев. Это жизнь в подвешенном состоянии, а не в кастрюле или вне неё. Знает ли омар, какая судьба его ожидает, или он уверен в своем бессмертии, как и все люди и животные?","Это карта ещё не полностью осуществлённых перемен. Затишье перед бурей. Вопрос между небом и землёй. Возрождение или распад духа. Иногда решение пожертвовать своими целями или семьей. Улучшение."
XIII,Death,Смерть,"Червонная Королева указывает на кого-то с криком: «Отрубить ему голову!» Одна из карт лежит, притворяясь мёртвой, чтобы её не постигла подобная участь. Королева много кричит, но на самом деле никто не умирает. Жертвы изменяются, чтобы их не узнали. В реальном мире те, кто умирают, находятся в переходном состоянии и вернутся к жизни в другой форме.","Перемены. Трансформация из одной формы в другую или из одной ситуации в другую. Смена караула. Уход от знакомого. Потеря безопасности, невезение. Резкое или постепенное изменение. Болезнь, возможно, смерть. Плохая ссуда."
XIV,Temperance,Умеренность,"Гонец Зай Атс в костюме англосаксонского пажа достаёт из сумки бутерброд с ветчиной. Он смотрит в мешок и не видит ничего, кроме сена. Одна его нога на суше, другая — в воде: объединение сил, которые действуют на тело и разум. На заднем плане вьётся длинная дорога, по которой он шёл, чтобы прибыть, и должен пройти, чтобы уйти.","Сдержанность. То, что приходит с компромиссом и совместимостью. Смешение вещей в единодушии. Умение распознавать и анализировать. Отсутствие чрезмерных склонностей. Поддержание хорошего имиджа. Возможно, излишняя сдержанность. Прошлое, настоящее и будущее."
XV,The Devil,Дьявол,"Бармаглот — чистое зло. У него длинная шея, поддерживающая голову с выпученными глазами и четырьмя острыми зубами. Его ноги вытянуты в атакующей позиции. Испуганный герой готов сразиться с монстром своим «вострым мечом». Стихотворение «Бармаглот» — это история о человеке, победившем монстра, который убил много людей и держал в страхе жителей деревни. Она иллюстрирует человеческую надежду на то, что однажды добро победит зло раз и навсегда.","Подчинение. Опустошение по желанию. Всё, что относится к злу. Привязанность. Провал. Неспособность достичь цели. Зависимость, ведущая к разорению. Насилие и разрушение. То, что пугает в ночи. Плохой характер, отсуствие чувства юмора, кроме злых шуток. Беспринципность. Странные переживания. Искушение и разногласие."
XVI,The Tower,Башня,"На этой карте изображены два события. Первое — Алиса хватается за воздух, и Кролик в результате падает в парник. Второе — Ящерка Билл падает после того, как Алиса вытолкнула его из трубы. Оба существа чрезвычайно встревожены неожиданным поворотом событий. Белый Кролик думал, что Алиса — это Мэри-Энн, его служанка, и поэтому думал, что может командовать ей. Алиса отомстила, когда выросла до гигантских размеров, и Кролик был вынужден изменить своё положение после того, как гигантская Алиса разрушила его дом.","Быстрые изменения. Cобытия не развиваются так, как ожидалось. Убеждения не оправдывают своих обещаний. Что-либо непредвиденное, c негативным намёком. Хорошие друзья стали плохими. Потеря денег, безопасности или любви. Неудачи, катастрофы, безумие, разруха. Конец благодати."
XVII,The Star,Звезда,"Грифон спокойно спит у вод жизни. За ним горы. Над ним восемь звёзд, одна большая и семь поменьше. Звёзды — это желания и мечты, самые важные дары небес. Как сон в конечном итоге приводит к пробуждению, так и вся жизнь представляет собой серию смертей и возрождений. Благодаря этому происходит предвидение будущего и очищение от прошлого.","Надежда, вера и вдохновение. Оптимизм желаний. Светлое будущее. Обучение на собственном опыте. Исполнение, удовлетворение и наслаждение. Лёгкое движение к цели. Астрология."
XVIII,The Moon,Луна,"Морж и Плотник сидят на камне и болтают с группой устриц, которых они пригласили на прогулку. На заднем плане Луна, расстроенная, что Солнце решило светить в ночное время. Морж говорит о банальных вещах, пока выбирает, какую из устриц съесть в первую очередь. Он сожалеет об их судьбе, но это его не останавливает.","Обман во всех его формах. Надувательство, уловка, задабривание, дурные мотивы, нечестность, ложные друзья, ложные предлоги. Неизвестные враги. Ловушка."
XIX,The Sun,Солнце,"Алиса встречает Шалтая-Болтая, который сидит на стене и держит знамя неизвестного происхождения. Он только что сделал себе комплимент, и поэтому даёт Алисе пожать ему руку. Король пообещал привести всех людей и лошадей, если Шалтай-Болтай упадёт со своего насеста.","Удовлетворение, свершение и успех. Любовь и дружба. Наслаждение радостями жизни. Свобода от скуки. Счастье. Новые или старые друзья. Тепло. Правда. Художественное достижение."
XX,Judgement,Суд,"Белый Кролик трубит в трубу, знаменуя начало суда над Червовым Валетом, который по глупости украл несколько пирожных у Королевы. На переднем плане Валет стоит перед адвокатом. На столе — пирожные, о которых идёт речь. Прежде чем будет вынесен приговор, весь двор превращается в игральные карты, кружащиеся вокруг Алисы, которая затем просыпается от своего сна о Стране чудес.","Исповедание всех грехов. Ответственность за поступки и мысли. Новая жизнь, возможно, самосовершенствование. Вознаграждение. Духовное «я». Предупреждение о чьём-то несправедливом преимуществе. Исход конфликта. Обдумывание действий."
XXI,The World,Мир,"Алиса стоит на одном из квадратов, составляющих мир Зазеркалья. До конца приключений Алисы осталось всего несколько шагов, и тогда она станет Белой Королевой. Символизм здесь в завершении, в том, что мир приведён в порядок, что всё идёт так, как должно.","Цель, к которой привели все остальные карты. Совершенство. Эдем. Исполнение. Конец пути к мудрости. Дух и жизнь вечная. Приятный результат. Высшая магия."
,Ace of Oysters,Туз Устриц,,"Благодать. Совершенство. Удовлетворённость. Деньги. Душа и тело обретают богатство. Предметы красоты и ценности."
,Two of Oysters,Двойка Устриц,,"Страх перед последствиями нового проекта. Беспокойство и смущение. Взгляд в бесконечность."
,Three of Oysters,Тройка Устриц,,"Благородство. Слава. Большая известность или уважение. Торговцы или рабочие. Наслаждение творческим процессом."
,Four of Oysters,Четвёрка Устриц,,"Любовь к богатству. Одержимость имуществом. Скупость, эгоизм. Неспособность понять или поддержать благотворительность."
,Five of Oysters,Пятёрка Устриц,,"Беда. Обездоленность. Неразрешимые проблемы с семьёй или любовниками. Неудача в достижении цели или получении  прибыли."
,Six of Oysters,Шестёрка Устриц,,"Щедрость к тем, кто менее удачлив. Доброта и подарки от души. Благополучие, исходящее от доброты и щедрости."
,Seven of Oysters,Семёрка Устриц,,"Наивность. Невинность. Прогресс к богатству и личной выгоде. Отход от старых привычек к новым. Рост и трудолюбие."
,Eight of Oysters,Восьмёрка Устриц,,"Творческое матерство. Быстрота мысли. Скромность. Откровенный разговор. Усердные старания в ремесле или искусстве. Талант."
,Nine of Oysters,Девятка Устриц,,"Успех и чувство безопасности. Физическое наслаждение и любовь к природе. Прозорливость, предусмотрительность."
,Ten of Oysters,Десятка Устриц,,"Дом и очаг. Процветание, богатство и безопасность. Длинная родовая история. Наследство."
,Page of Oysters,Паж Устриц,,"Академическая традиция. Усидчивый ученик. Любовь к новому. В меру стабильный и лояльный человек. Благодетель."
,Knight of Oysters,Рыцарь Устриц,,"Зрелый и ответственный человек. Надёжный, терпеливый, настойчивый. Организованность. Уверенная духовность."
,Queen of Oysters,Королева Устриц,,"Чрезвычайное богатство. Великолепие, изящество, изобилие. Безопасность, свобода, щедрость. Интеллект."
,King of Oysters,Король Устриц,,"Человек грации и обаяния, с природными лидерскими качествами и деловыми способностями, умный, верный и успешный. Смелость, пунктуальность."
,Ace of Hats,Туз Шляп,,"Что-то выше материального мира. Дух вселенной. Счастливый дом, красота и наслаждение. Что-то находящееся за завесой Таро. Великое и неожиданное изобилие. Доброта, переливающаяся через край."
,Two of Hats,Двойка Шляп,,"Отношения между мужчинами и женщинами, а также между друзьями. Раздор, с последующими единством и счастьем. Сотрудничество. Брак или помолвка. Взаимное понимание расходящихся мнений. Новый друг или отношения."
,Three of Hats,Тройка Шляп,,"Благополучное решение проблемы. Радость и танцы. Исцеление души. Победа. Утешение. Частичное исполнение или компромисс."
,Four of Hats,Четвёрка Шляп,,"Отвращение к воображаемым недостаткам. Нежелание того, что предлагается. Ранее сделанный плохой выбор, который влияет на все будущие выборы. Потребность в совершенстве. Застойный период жизни."
,Five of Hats,Пятёрка Шляп,,"Частичная потеря. Видение сломанного и игнорирование целого. Дружба без преданности. Брак без любви. То, что могло бы быть совершенным, но таковым не является. Неполный взгляд на мир и людей."
,Six of Hats,Шестёрка Шляп,,"Мысли о детстве. Ностальгия. Сладость воспоминаний. Стремление к старому, без оценки истинной ценности прошлого. Временами будущее."
,Seven of Hats,Семёрка Шляп,,"На карте изображены семь шляп с тематикой снов и кошмаров, и кверент будет выбирать среди них. Первая содержит деву, вторая — неизвестного духа, а третья — змею. Четвёртая содержит замок с богатствами, пятая — демона, шестая — драгоценности, а седьмая — корону. Цель в пределах видимости. Желания. Мечта осуществилась, но не была признана."
,Eight of Hats,Восьмёрка Шляп,,"Бег от ответственности или дружбы. Инь и Ян в выборе. Оставление позади лучшего, что есть в человеке. Отказ от плана или цели. Разочарование. Придание большого значения тому, что на самом деле незначительно."
,Nine of Hats,Девятка Шляп,,"Удовлетворённость. Личное преимущество, иногда финансовое. Материальная выгода и рост бизнеса. Удача, крепкое здоровье. Победа."
,Ten of Hats,Десятка Шляп,,"Дом и очаг. Безмятежность знакомого места. Всё, что приходит с семьёй и друзьями. Тот, кто заботится об интересах кверента."
,Page of Hats,Паж Шляп,,"Человек, сильно сконцентрированный на учёбе или проекте. Задумчивый; верный, услужливый и заслуживающий доверия. Хороший типаж для скрытной работы."
,Knight of Hats,Рыцарь Шляп,,"Сообщение. Прибытие. Движение вверх или вперёд. Запросы или проблемы. Влечение к месту или человеку. Подарок, возможность или приглашение. Предложение."
,Queen of Hats,Королева Шляп,,"Тёплый и любящий человек. Рассеянный, но с уникальным видением. Хороший родитель или друг. Востребованный советник. Практичный, честный и счастливый. Поэтический. Тот, кого любят."
,King of Hats,Король Шляп,,"Хороший человек, уважаемый в бизнесе и обществе. Лидер, но подчинённый кверенту. Либеральный, артистичный и религиозный. Добрый. Учёный или юрист. Способный адаптироваться."
,Ace of Peppermills,Туз Перцемолок,,"Начало всего. Жизнь, любовь, семья, бизнес. Начало нового приключения. Значимый опыт. Наследование и состояние. Дом."
,Two of Peppermills,Двойка Перцемолок,,"Выдающийся мужчина, часто правитель. Смелость смотреть в лицо миру и созерцать его. Великое богатство и пышный рост, которые не ценятся."
,Three of Peppermills,Тройка Перцемолок,,"Открытие нового пути. Стабильность в работе и способностях. Обширные познания о мире. Острые ощущения от переговоров. Торговля."
,Four of Peppermills,Четвёрка Перцемолок,,"Лучшее из дома и домашнего очага. Защита от зла. Романтика или неожиданное счастье. Процветание, умиротворение и спокойствие. Достижение мечты, ведущей к богатству и/или счастью. Сельская жизнь. Отдых после труда."
,Five of Peppermills,Пятёрка Перцемолок,,"Молодёжь, подражающая старшим. Будущее в условиях постоянной конкуренции, труда и распрей."
,Six of Peppermills,Шестёрка Перцемолок,,"Большой триумф. Победа. Хорошие новости с далеко идущими последствиями. Вознаграждённые ожидания. Надежда."
,Seven of Peppermills,Семёрка Перцемолок,,"Царь горы. Смелый человек, столкнувшийся с невероятными трудностями. Бизнес или конкуренция. Дебаты. Успех. Победа."
,Eight of Peppermills,Восьмёрка Перцемолок,,"Быстрая активность. Внезапный прогресс или движение. Торопливые движения. Cлишком быстрое для лёгкого усвоения продвижение."
,Nine of Peppermills,Девятка Перцемолок,,"Ожидание боя. Ментальное противостояние. Средство сдерживания нападения врага. Готовность к любым трудностям. Пауза в продолжающейся битве. Порядок и дисциплина."
,Ten of Peppermills,Десятка Перцемолок,,"Поддавание чрезмерному бремени. Нахождение под контролем собственности. Верный слуга. Давление необходимости поддерживать ложь или маскировку. Эгоизм. Проигравший в споре."
,Page of Peppermills,Паж Перцемолок,,"Преданный и верный человек. Мужчина, который хорошо отзывается о других. Посланник, вестник или незнакомец, приходящий на помощь. Умный человек. Тот, кто несёт важные новости, обычно хорошие."
,Knight of Peppermills,Рыцарь Перцемолок,,"Путешествие в неизведанное. Важное сообщение, которое нужно доставить. Общее изменение места расположения. Бег от плохой ситуации. Загадочный персонаж."
,Queen of Peppermills,Королева Перцемолок,,"Честная и домашняя женщина, умеющая лечить душевные недуги. Тёмная женщина, очень скрытная. Искренний и обаятельный человек; способный на любовь и привязанность."
,King of Peppermills,Король Перцемолок,,"Честный и верный человек. Тот, кто не понимает плохих мотивов. Отцовский и добрый, но иногда быстро злится. Образованный и отзывчивый. Часто мужчина с близкой семьёй."
,Ace of Flamingos,Туз Фламинго,,"Огромное усилие, ведущее к подавляющей победе. Сила, мощь, успех и плодородие. Завоевание ради завоевания. Чрезмерное поведение. Глубокие эмоции."
,Two of Flamingos,Двойка Фламинго,,"Баланс в конфликте. Как вариант, дружба и согласие. Тупик или перемирие."
,Three of Flamingos,Тройка Фламинго,,"Разочарование, противодействие и разлука. Разрыв отношений. Опоздание и отсутствие."
,Four of Flamingos,Четвёрка Фламинго,,"Отдых после долгих невзгод. Сон и мечты в одиночестве. Временная заброшенность или уединение. Иногда могила или гроб, означающие окончательный покой."
,Five of Flamingos,Пятёрка Фламинго,,"Тяжёлое поражение, возможно, финальная битва. Позор и бесчестье. Возникающие новые враги. Катастрофа."
,Six of Flamingos,Шестёрка Фламинго,,"Путешествие, обычно приятное. Надежда на быстрое решение проблемы. Успех после многих попыток. Иногда вестник. Целесообразность. Конец путешествия."
,Seven of Flamingos,Семёрка Фламинго,,"Прекрасная фантазия и новая надежда. Уверенность и настойчивость. Пожелания. Великолепный план на жизнь и получение удовольствия от неё. Художественность мысли."
,Eight of Flamingos,Восьмёрка Фламинго,,"Порицание и цензура. Плохие новости. Временная кабала. Человек, над которым доминирует другой человек или ситуация. Создание собственной тюрьмы. Болезнь, конфликт или серьёзная катастрофа."
,Nine of Flamingos,Девятка Фламинго,,"Беспокойство за любимого человека. Переживание. Ссора или другое серьёзное несчастье. Выкидыш. Отчаяние и страдания. Иногда смерть. Одиночество, печаль."
,Ten of Flamingos,Десятка Фламинго,,"Боль, похожая на насильственную смерть. Психическая смерть. Разорение. Психические страдания. Непримиримое чувство вины. Беда и несчастье."
,Page of Flamingos,Паж Фламинго,,"Взгляд за пределы поверхности. Шпион. Бдительность. Уважение к власти. Человек, который выполнит задание вне зависимости от опасности. Интуиция. Осмотрительность."
,Knight of Flamingos,Рыцарь Фламинго,,"Бросок в неизвестность без страха. Кровожадность. Эта карта усиливает другие карты, связанные со смертью. С картами мудрости указывает на глупость. Война, противостояние, героизм."
,Queen of Flamingos,Королева Фламинго,,"Горе, часто вдовство. Интеллект со знанием тёмной стороны мира. Тот, кто прошёл путь от счастья до неудач."
,King of Flamingos,Король Фламинго,,"Сила жизни и смерти. Король смягчает бесчинства королевы."
