Метла,"Карта Метла Ленорман — индикатор конфликта, споров и агрессии, очищение, убирание, выметание чего-либо из нашей жизни. Как символ, он долгое время использовался как форма наказания и жестокого обращения. Обычно эта карта указывает на какое-то словесное разногласие — когда сталкиваются два разных способа мышления. Во-время более жарких эпизодов аргументы могут стать личными, а это означает, что эта карта также может означать оскорбления и личные нападки. В редких случаях карта Метла также может означать физическое насилие.</p><p>Карта Метла также может обозначать любое деструктивное поведение, подпитываемое негативом — иногда карта существует, чтобы показать, что мотивация действий заключается в том, чтобы просто причинить другому человеку боль. Эта карта может служить заменой страданий, которые мы получаем от других.","конфликт, обсуждения, аргументы, дебаты, брань, оппозиция, очищение."
Совы,"Когда вы видите Сов в своем раскладе Ленорман, вы видите много активности и энергии. Когда эти маленькие хищьные животные собираются вместе, возникает сильное чувство беспокойства, разнообразного волнения. Совы могут быть сверхбдительными, наполненными нервным беспокойством, из-за чего им сложно оставаться на одном месте слишком долго.</p><p>Эта карта также может указывать на болтовню, происходящую в вашей жизни, а иногда даже на сплетни. Когда собирается много Сов, кажется, что происходит возбужденный обмен песнями, переходящий в постоянный поток шума.</p><p>Другое значение этой карты может заключаться в том, что вы отвлекаетесь на многие вещи — ваше сознание сосредоточено на слишком многих идеях, что мешает вам сосредоточиться.","беспокойство, волнение, слухи, болтовня, нервозность, бдительность."
Ребенок,"Хотя карта Ребенок Ленорман может относиться и к реальному ребенку, иногда более полезно увидеть ее в раскладе как указание на то, что необходимо начать все сначала или сделать что-то новое в жизни. Это может принять форму новых отношений, новой работы или нового образа мышления. Чтобы точно понять, на что ссылается карта, вам нужно будет посмотреть на окружающие карты.</p><p>Наряду с этим значением карта Ребенок также обладает чертами невинности и наивности, а также неопытности. Поскольку вы проходите новый процесс, вы можете быть более доверчивыми и открытыми, это означает, что вы можете быть более уязвимыми. Вы можете делать ошибки чаще, чем те, кто уже проходил через это раньше. Вы также можете быть более игривым и любопытным, чем другие, а это означает, что ваша невиновность может внести свежий подход и открыть новые перспективы, которые другие могли упустить.","новые начинания, ребенок, играть, неопытность, невинность, незрелость."
Лиса,"</p><p>Хитрый обманщик, лисица традиционно была известна фермерам как вор, ворующий их кровно заработанный урожай. По этой причине некоторые из наиболее распространенных значений для лисы включают обман со стороны хитрого и проницательного существа.</p><p>Но мы также можем понять лису как существо, которое проявляет такое поведение, чтобы адаптироваться и выжить. Иногда, чтобы свести концы с концами, нам приходится вести себя эгоистично. Забота о себе иногда интерпретируется другими как эгоизм. Конечно, методы, которые они используют, могут быть нечестными или несправедливыми, но они могут быть единственными доступными им средствами.</p><p>Интеллект Лисы также может выражаться не только в коварстве, но и в подозрительности и недоверии. Они осторожно подходят к своему окружению, осознавая всю опасность, которая может скрываться.","эгоизм, самолечение, обман, подозрение, хитрость, осторожно."
Медведь,"Сила и мощь представлены в карте Медведь Ленорман и эта сила может проявляться во многих формах. Это может быть физический размер, положение в обществе или работе, их роль в семье или даже их личность.</p><p>В лучшем свете медведь может представлять лидера, который одновременно и воспитывает, и учит, направляя к лучшему будущему. В этом случае Медведь может представлять кого-то, кто действительно заботится о вашем будущем.</p><p>В других случаях карта Медведя может представлять людей, которые, несмотря на самые лучшие намерения, могут пытаться самоутвердиться над нашими собственными решениями. Это может быть агрессия, издевательства или даже более тонкое влияние, например, со стороны родителей на ребенка, который усвоил их желания.","сила, руководство, господство, влияние, вспыльчивый характер, сила характера босса."
Звезды,"Традиционно символ исполнения желаний, Звезда указывает на прогресс в достижении целей. Как очень позитивная карта, она означает надежду, позитив и сбывающиеся мечты. Подобно Полярной звезде, которая ведет усталых путешественников к месту назначения, наши стремления и мечты помогают нам оставаться на пути к нашим высшим идеалам. Эта карта представляет собой путешествие к этим видениям и сам сон.</p><p>Иногда это также может означать надежду и доверие — в моменты сомнений звезда манит нас поверить в то, что в конце концов все закончится хорошо, что путь иногда бывает длинным и извилистым. Когда мы смотрим на звезды и созерцаем необъятные просторы космоса, мы смиряемся, потому что помним, хоть мы и являемся лишь крошечной частью Вселенной, все это взаимосвязано. Наше понимание этого ограничено человеческим пониманием, а это означает, что иногда доверие — это все, что мы можем иметь.","надежда, вдохновение, оптимизм, духовность, мечты, прогресс к целям."
Аист,"Когда вы видите Аиста в ваших раскладах Ленорман, карта может указывать на изменения, переходы и трансформации. Аист известен как птица с длительными перелетами, между Африкой и Европой.</p><p>Иногда это перемещение может быть буквальным — возможно, вы переживаете географическое перемещение. Но чаще это может быть образное движение — когда вы проходите через процесс, в котором вы переопределяете определенные аспекты себя. Обычно это начинается изнутри — например, изменение вашего определения любви или собственной личности. Это, как правило, влияет на ваши действия и выбор. Внутреннее изменение распространяется вовне, и в большинстве случаев это очень медленный процесс. Чтобы понять, где в жизни вы меняетесь, вам придется взглянуть на окружающие карты.","изменения, переход, движение, повторение, новый цикл, тоска."
Собака,"Как ближайший компаньон человечества, карта Собаки в раскладах Ленорман обычно может указывать на глубокую дружбу, основанную на преданности и поддержке. Эта карта может быть в виде реального человека с этими чертами, окруженного системой поддержки или проявлением доброты в целом. Любящая поддержка также может иногда превращаться в преданность, когда кто-то сосредотачивает все свое внимание на благополучии и счастье другого. Человек, о котором идет речь, может очень стремиться доставить удовольствие, в зависимости от того, как другие люди думают о нем ради его собственного достоинства.</p><p>В других случаях карта Собаки также может указывать на кого-то, кто ему послушен, или на его последователя. Хотя это может быть положительным моментом, иногда эта карта также может указывать на кого-то, кто не может принимать решения самостоятельно.","верность, дружба, последователь, преданность, послушание, служба поддержки."
Башня,"Человек может не беспокоиться — он находится под защитой. Он уже выстроил фундамент жизни и развития и прочно стоит на ногах. В обществе личность обсуждаемая и занимает не последнее место среди окружающих людей. В своей деятельности человек развился достаточно для того, чтобы диктовать правила и устанавливать четкие границы.</p><p>Иногда башня указывает на одиночество, а точнее на изолированность от внешнего мира. Здесь Башня указывает на внутреннее состояние человека, на то что ему тоскливо и некомфортно без привычной обстановки. При описании личности башня свидетельствует о честолюбии особы. Часто случается, что человек оказывается высокомерным и немного даже чопорным и непоколебимым в характере.</p><p>Часто карта читается в буквальном смысле и означает здания, в которых человек бывает ежедневно или находится там на временном пребывании.","власть, одиночество, изоляция, отчужденность, эго, высокомерие."
Сад,"Сад в прямом значении — общественность. Карта говорит, что человек общительный и проводит время в больших кампаниях единомышленников и друзей. Это означает, что человек находится в нужном месте и в самое благоприятное для этого время. Надежды и ожидания исполняются, богатство и признание личности на пороге. Водоворот приятных событий закружит человека, он будет стремиться к еще большим знаниям и достижениям.</p><p>Деятельность связана с общественностью, с новыми связями и знакомствами. Личность разносторонняя, часто выступает на публике в роли оратора или занимает лидерские позиции в кампании людей. Возможно, человек из мира шоу-бизнеса или известный представитель СМИ. В современном мире карта может показать на общение в сети интернет, но не личное, а группами.","государственные дела, общество, культура, командная работа, слава, социальные связи."
Гора,"Когда гора появится в ваших раскладах Ленорман, вам придется остерегаться задержек и препятствий, возникающих на вашем пути. Эти проблемы должны быть преодолены для того, чтобы вы могли продолжать продвигаться по своему пути. Независимо от того, какую форму примет это препятствие, вы должны научиться обходить его засучив рукава.</p><p>Помните, что это препятствие не должно восприниматься негативно. Трудности в жизни — это то, что заставляет нас учиться и расти. Без них мы остаемся в застое.</p><p>Борьба, с которой мы сталкиваемся, а затем преодолеваем, также может стать символом стойкости человеческой природы. Это может быть дополнительным значением карты горы, если вы решите принять вызов, на который она ссылается. Только делая по одному шагу за раз, мы можем преодолеть самые большие трудности.","трудности, проблемы, препятствия, ухудшение, препоны, борьба, вызов."
Развилка,"В раскладах Ленорман карта развилка связана с выбором, а с ним как правило приходит много сомнений. В то время как вам представляются возможности, кажется, что вы должны выбрать один путь — который закрывает другие. Поскольку вы знаете это, вы полны колебаний. Это не будет легкой задачей, и поэтому вы можете чувствовать тяжелое бремя этого выбора. Помните, что вы не можете избежать этого бремени, это то, что вы должны принять, чтобы продвигаться вперед.</p><p>В более широком масштабе развилка это карта свободной воли, указывающая на то, что выбор остается за вами, независимо от того, насколько сложной может показаться ситуация.","выбор, много возможностей, путешествия, разделение, нерешительность, решения."
Крысы,"Медленный распад и ухудшение состояния показаны картой Крысы. Хотя крысы поначалу могут казаться безвредными, многие из них могут стать проблемой, когда они начинают грызть всё на своем пути, ресурсы и жилье. Это медленный процесс, но, если его не контролировать, эта карта может вызвать глобальные разрушения. Эта карта может означать, что что-то медленно теряет свою силу, например, отношения, которые могут рушиться, или надежда, которая медленно угасает. Возможно, вы еще даже не осознаете этого, но это уже может происходить — вам нужно быть более бдительными, чтобы предпринять действия, если это станет проблемой.</p><p>Наконец, поскольку крысы иногда являются переносчиками болезней — эта карта также может указывать на какую-то метафорическую или внутреннюю порчу. Вы можете иметь дело с чем-то испорченным или загрязненным; может быть, есть кто-то, у кого нет чистых мотивов для своих действий.","дефицит, истощение, разрушение, дефект, недостаток, заболевание."
Сердце,"Сердце в Ленорман означает любовь, не обязательно романтическую любовь, но любовь, которая может распространяться на любое существо и может быть выражена любым способом. Сердце является одной из самых позитивных карт. Здесь есть подлинная и искренняя связь.</p><p>Иногда, однако, наши увлечения берут верх над нами, и наша любовь к кому-то или чему-то может затруднить нам увидеть их недостатки. Мы можем начать верить в то, во что хотим верить. Поэтому, хотя эта карта в целом может быть положительной, мы должны также спросить себя, видим ли мы здесь всю картину целиком.</p><p>Когда сердце появляется в раскладах, выходящих за рамки романтики, это обычно указывает на то, что в этом есть сочувствие, сострадание и забота. Решения здесь принимаются с учетом интересов всех заинтересованных.","любовь, дружелюбие, романтизм, прощение, согласие, мягкость, благотворительность."
Кольцо,"Обязательства и соглашения, будь то в любви или бизнесе представлены Кольцом в раскладах Ленорман. Что-то связывает две вещи вместе, связь, которая может быть, как практической, так и эмоциональной, взаимной или односторонней. Хотя кольцо может представлять собой связь между двумя людьми или организациями, оно также может представлять собой приверженность принципу, идее или ценности — обещание, которое человек дает самому себе. Общность между всеми этими раскладами заключается в том, что человек связан честью, моралью, а иногда даже юридическими договоренностями.</p><p>Увидев эту карту, вы должны учитывать вес всех обязательств, которые вы делаете — ваши обещания отражают ваш характер и ваше положение. Иногда Кольцо может также сигнализировать о повторяющемся и циклическом процессе или событии, и вам может казаться, что вы ходите по кругу.","обязательство, обещание, честь, сотрудничество, взаимодействие, циклы."
Книга,"Одна из самых простых карт в колоде, книга является представителем знаний, образования и обучения. Она также иногда ассоциируется с тайнами и истиной, которые могут быть открыты с помощью знания. Как карта всех тех, кто ищет истину, она обычно представляет процесс, через который мы проходим, чтобы получить знание, например, становление студентом или прохождение через период интенсивного изучения.</p><p>Еще одно значение карты Книга — интеллект, особенно в контексте академического знания, которое человек получает через формальное образование. Однако в некоторых ситуациях знание и интеллектуальность также могут породить снобизм.</p><p>Некоторые интерпретации также включают тайное или эзотерическое знание — то, что написано на страницах книги, иногда еще не открыто читателем, и только через исследование и изучение можно получить доступ к истине.","секреты мастерства, знания, образование, информация, исследования."
Письмо,"Коммуникация является основой карты письмо Ленорман во всех ее формах. Хотя в традиционном смысле общение чаще всего происходило в форме реального общения, но мы не должны ограничивать наши интерпретации только этим средством. Эта карта может означать коммуникации как в электронной почте, так и в тексте или информацию и знания, которыми делятся с другими. Карточка оставляет несколько открытым вопрос о том, с кем делится этой информацией. Чтобы понять содержание и адресата, необходимо изучить другие карты, окружающие письмо.</p><p>Другое, более специализированное значение письма Ленорман, может означать документацию или документы любого рода. Это может означать такие вещи, как дипломы, сертификаты, резюме, счета-фактуры и разрешения, например.","документ, электронная почта, речь, разговоры, выражение, информация, общение."
Мужчина,"В то время как оригинальная карта Ленорман называется «Мужчина», мы хотим расширить определение этой карты, чтобы сосредоточиться на мужественности — всех поведениях и энергии, обычно связанных с мужчинами, но не обязательно с кем-то, кто физически является мужчиной.</p><p>Эта энергия может быть более логичной, чем эмоциональной, более агрессивной, чем восприимчивой, более физической, чем духовной, и зависеть от вашего личного культурного опыта.</p><p>Эта карта иногда может ссылаться на кверента (вопрошающего), особенно если у него много мужских черт. Но это может также относиться к кому-то в жизни кверента с этими качествами. Этот человек обычно будет близок к жизни кверента — например, значимый другой, член семьи или близкий друг. Этот человек играет большую роль в жизни вопрошающего.","мужчина в жизни, друг-мужчина, партнер, член семьи, мужественность."
Женщина,"В то время как оригинальная карта Ленорман называется «Женщина», мы хотим расширить определение этой карты, чтобы сосредоточиться на женственности в целом — все поведение и энергия, как правило, связанные с женщинами, но не обязательно кто-то, кто физически является женщиной.</p><p>Энергия этого человека может быть более эмоциональной, чем логической, более восприимчивой, чем агрессивной, более духовной, чем физической, а также зависеть от вашего личного культурного опыта.</p><p>Эта карта иногда может ссылаться на вопрошающего кверента, особенно если у него много женских черт. Но это может также относиться к кому-то в жизни кверента с этими качествами. Этот человек обычно будет близок к жизни вопрошающего — например, значимый другой, член семьи или близкий друг. Этот человек играет большую роль в жизни вопрошающего.","женщина в жизни, подруга, партнер-женщина, член семьи, женственность."
Лилии,"Лилии в колоде Ленорман считаются положительной картой. Они являются основой во всем, что касается семьи и поддержки. Лилии олицетворяют зрелость и мудрость, опытного, авторитетного, мудрого человека, возможно, с седыми волосами. Лилии указывают на период спокойствия и расслабления, время, когда проблемы закончились, и теперь можно наслаждаться тишиной и покоем. Лилии также обозначают родословную и наследие семьи.</p><p>Эта карта предвещает гармонию, безмятежность, покой и умиротворение во всех аспектах, указывает на существование, полное чудесных вещей, которые нейтрализуют негативное состояние в душе человека. Лилии связаны с любовью, чистыми и искренними межличностными отношениями, полными спокойствия, расслабления и радости.","чувственность, добродетель, мораль, этика, мудрость."
Солнце,"Чрезвычайно позитивная карта в колоде Ленорман, Солнце — это карта победы, счастья и успеха. Как даритель жизни, наличие солнца в вашем раскладе проливает свет на ситуацию и другие карты в раскладе. Это придает общее чувство оптимизма чтению, что все делается со счастьем и теплом. Он освещает темную ситуацию-даже когда в чтении больше негативных карт.</p><p>Как источник света, он не только приносит счастье или надежду тому, что может быть негативным, оно также может осветить то, что скрыто, принося истину из неизвестного. Таким образом, Солнце может также представлять нечто, становящееся видимым и входящее в ваше сознание.","энергия, страсть, скорость, деятельность, новости, сообщения."
Луна,"Именно ночью, под покровом темноты и лунного света, мы можем видеть сны и получать доступ к своему подсознанию. Дневной свет больше не царит безраздельно, логика и истина становятся более произвольными понятиями, и наш ум может воображать и следовать извилистым путям нашей интуиции. То, что не рассматривается при свете дня, выходит ночью — все наши скрытые и подавленные эмоции, страхи и желания. Таким образом, карта Луна представляет нашу эмоциональную жизнь — возможно, части нас самих, к которым мы не можем обратиться во время бодрствования — теневые аспекты нашего собственного «Я», которые мы должны интегрировать, чтобы развиваться как человеческие существа.</p><p>Именно благодаря нашей интуиции мы можем получить некоторые прозрения, которые мы могли бы не найти через логическое понимание — так что Луна также может представлять все вещи, которые существуют, но о которых мы еще не знаем.","подсознание, интуиция, эмоции, страхи, желания, фантазия."
Ключ,"Ключ является одной из лучших карт в колоде Ленорман. Он дает большие возможности открывать сокровенные тайны, обозначать судьбу, личную свободу и многое другое. Карта указывает на ответы в раскладе, достижение успеха, на откровения и на то, что сбываются мечты.</p><p>Если Луна указывает на экстрасенсорные способности и падение завесы между этим и мистическим царством, то Ключ показывает высшие духовные и кармические связи. Иногда карта может означать очень важное решение, расследование или открытие. Карта относится к движению, динамизму, действию, которое происходит под влиянием импульса.</p><p>Ключ представляет для человека исследовательское путешествие в поисках чего-то еще неопределенного. Он указывает на преодоление непреодолимого препятствия, решение сложной загадки, исчезновение всех неопределенностей или сомнений в контингентной ситуации.","открытие, достижение, освобождение, разрешение."
Рыбы,"Богатство — это то, на что ссылаются, когда видят рыбу в раскладе Ленорман. В традиционном смысле это может быть материальное благо в отношении финансов и бизнеса, или это может быть в более простом смысле понимание ценности чего-либо. Таким образом, когда мы смотрим на карты, это может просто означать, что карты говорят о чем-то в финансовой сфере, или карта действительно может помочь нам изучить то, что для нас ценно. Некоторые вещи бесполезны на бумаге, но эмоционально ценны — принцип, чувство, объект или что-то, что вы делаете.</p><p>Карта рыбы также предлагает нам подумать о том, что на самом деле означает изобилие — будь то количество чего-то или другой признак. Отрицательная черта этой карты заключается в том, что она имеет тенденцию фокусироваться на числах, а не на других качествах, которые мы могли бы найти более убедительными.","финансы, бизнес, богатство, ценности, получение, изобилие."
Якорь,"Якорь в колоде Ленорман показывает максимальное удовлетворение в той области, в которой задан вопрос картам. Человек уверенный в себе и не боится каких-либо препятствий. Он твердо стоит на ногах, чувствует полную безопасность, а характером непоколебим. Выбор профессии и цели в жизни сделан, человек привязан к месту и точно следует личным намерениям. Якорь означает, что какая буря не приключилась в жизненном течении, персона устоит на своей позиции и переживет все неприятности.</p><p>Стабильность во всех аспектах жизни у гадающего, когда в раскладе фигурирует якорь. Карта дает понять, что человек пришел к тому, к чему долго стремился и прилагал для этого усилия. Теперь период прочности и надежности: цели достигнуты, пора пожинать плоды труда. Якорь — это источник личной безопасности, прочности позиции и иногда небольшого баланса.</p>","стабильность, сдержанность, безопасность, упругость, долговечность, закладка фундамента."
Крест,"Хотя Крест может быть представителем организованной религии, значение этой карты Ленорман также может быть расширено, чтобы включить понятия идеологии и ответственности — например, когда мы сталкиваемся с фразой «нести свой крест». Идеологии направляют наши цели, наши действия и наши ценности — они создают разделение между тем, что является «хорошим» и тем, что является «плохим». Они говорят нам, что мы должны делать и чего мы не должны делать, и могут стать невероятно вредными, когда доведены до крайности. Именно с помощью идеологий мы учимся судить других и судить самих себя — иногда заходя слишком далеко и создавая культуру нетерпимости. Поскольку идеологии имеют ценностные суждения, они становятся тесно связанными с другими значениями этой карты.","обязанность, убеждение, страдания, бремя, нетерпимость, принципы, идеологическая обработка."
